,rt_userid,cong_original_ID,overall,max_pol,weighted_pol,weighted_pol_binary,pol_count,congressperson,Incivility,cong_position,is_policy,CAP_Policy,cat
171,370433,21595542218,0.0,-1.0,-1.0173160173160174,-0.8571428571428572,231.0,alfranken,0.04858305,D,1,16,
172,441989,21595542218,0.2,-1.0,-1.079646017699115,-0.8141592920353982,113.0,alfranken,0.04858305,D,1,16,
173,220490,21595542218,0.37,-1.0,-1.0,-1.0,1.0,alfranken,0.04858305,D,1,16,
174,1317151,27557219341,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,russfeingold,0.046281714,D,0,4,
175,1286020,27557219341,0.29,-1.0,-0.96875,-0.6875,32.0,russfeingold,0.046281714,D,0,4,
176,340101,24940929737,0.04,-1.0,-0.9999999999999999,-0.8181818181818181,11.0,russfeingold,0.0630311,D,0,0,
177,1317151,24940929737,0.41,-1.0,-1.0490196078431373,-0.8366013071895425,306.0,russfeingold,0.0630311,D,0,0,
178,140596,24940929737,0.03,-1.0,-1.144927536231884,-0.8115942028985508,69.0,russfeingold,0.0630311,D,0,0,
179,272744,24940929737,0.01,-1.0,-1.2692307692307692,-0.9615384615384616,52.0,russfeingold,0.0630311,D,0,0,
180,1123156,24940929737,0.37,-1.0,-0.5,-0.6666666666666667,6.0,russfeingold,0.0630311,D,0,0,
181,353457,24940929737,0.3,-1.0,-1.125,-0.75,8.0,russfeingold,0.0630311,D,0,0,
182,1139320,24940929737,0.67,-1.0,-0.5769230769230769,-0.6923076923076923,26.0,russfeingold,0.0630311,D,0,0,
183,167218,24940929737,0.27,-1.0,-1.2352941176470587,-0.8333333333333333,102.0,russfeingold,0.0630311,D,0,0,
184,326260,24940929737,0.61,-2.0,-1.3478260869565217,-0.8217391304347826,230.0,russfeingold,0.0630311,D,0,0,
185,360195,25165185688,0.27,-1.0,-0.5335689045936396,-0.5441696113074205,283.0,BetsyMarkey,0.12356531,D,0,2,
186,360497,25165185688,0.12,-1.0,-0.8673469387755102,-0.6938775510204082,196.0,BetsyMarkey,0.12356531,D,0,2,
187,313778,25165185688,0.23,-1.0,-1.2999999999999998,-1.0,10.0,BetsyMarkey,0.12356531,D,0,2,
188,540026,27951459309,0.03,-1.0,-1.0793650793650795,-0.8095238095238095,63.0,blanche4senate,0.06782739,D,0,0,
189,407340,27951459309,0.06,-1.0,-0.6666666666666666,-0.6666666666666666,3.0,blanche4senate,0.06782739,D,0,0,
190,97379,27951459309,0.33,-1.0,-0.5714285714285714,-0.6428571428571428,14.0,blanche4senate,0.06782739,D,0,0,
191,1414035,27951459309,0.0,-1.0,-0.7204968944099378,-0.5031055900621119,161.0,blanche4senate,0.06782739,D,0,0,
192,1046156,25334165937,0.2,-1.0,-0.6666666666666666,-0.41666666666666674,12.0,RepSchrader,0.051657088,D,1,14,
193,536482,25334165937,0.5,,,,,RepSchrader,0.051657088,D,1,14,
194,325287,25344436660,0.28,-2.0,-1.5632911392405062,-0.920886075949367,316.0,AlanGrayson,0.14406513,D,0,19,
195,360195,25344436660,0.27,-1.0,-0.5335689045936396,-0.5441696113074205,283.0,AlanGrayson,0.14406513,D,0,19,
196,293605,25344436660,0.73,-2.0,-1.432098765432099,-0.9012345679012346,81.0,AlanGrayson,0.14406513,D,0,19,
197,624537,25344436660,0.23,-2.0,-1.0760869565217392,-0.6086956521739131,92.0,AlanGrayson,0.14406513,D,0,19,
198,1517132,25344436660,0.79,-1.0,-1.0,-1.0,1.0,AlanGrayson,0.14406513,D,0,19,
199,1562549,25344436660,0.36,-2.0,-0.8875000000000001,-0.6125,80.0,AlanGrayson,0.14406513,D,0,19,
200,664268,25344436660,0.71,0.0,-0.6093366093366095,-0.44799344799344804,1221.0,AlanGrayson,0.14406513,D,0,19,
201,378771,25344436660,0.05,-1.0,-0.9514563106796117,-0.7184466019417476,103.0,AlanGrayson,0.14406513,D,0,19,
202,277614,25344436660,0.22,1.0,0.7826086956521738,0.6304347826086956,46.0,AlanGrayson,0.14406513,D,0,19,
203,939821,25344436660,0.2,-1.0,-1.0591715976331362,-0.7396449704142012,169.0,AlanGrayson,0.14406513,D,0,19,
204,92432,25344436660,0.04,-2.0,-1.3313253012048194,-0.8373493975903614,166.0,AlanGrayson,0.14406513,D,0,19,
205,272078,25344436660,0.33,-1.0,-0.8962264150943395,-0.6981132075471699,106.0,AlanGrayson,0.14406513,D,0,19,
206,1294852,25344436660,0.24,-1.0,-0.6499999999999999,-0.5,20.0,AlanGrayson,0.14406513,D,0,19,
207,1301077,25344436660,0.19,-2.0,-1.199501246882793,-0.8079800498753117,401.0,AlanGrayson,0.14406513,D,0,19,
208,1073213,25344436660,0.96,-1.0,-1.0125,-0.7250000000000001,240.0,AlanGrayson,0.14406513,D,0,19,
